 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,6.605,FD&C IOR/Construction Inspection,"382,043.00","382,043.00","382,043.00","382,043.00","382,043.00",0,0,0,0,0,0,0,896,0,0,0,0,448,472,0,944,"1,180.00",0,"1,888.00","1,062.00","1,180.00",944,"5,192.00",0,"6,962.00","10,000.00","14,875.00","11,750.00","11,875.00","12,625.00","26,000.00","14,500.00",0,"20,250.00","18,375.00","24,125.00","19,000.00","16,375.00","15,625.00","21,000.00",0,"4,125.00",375,0,0,0,0,"120,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.607,FD&C Project Specialist,"115,557.25","115,557.25","115,557.25","115,557.25","115,557.25",0,82.5,605,715,"2,048.75",756.25,"2,090.00","1,622.50","1,952.50","2,310.00",302.5,"1,485.00","3,107.50","3,538.00",0,"3,625.00","8,468.00",0,"3,538.00","1,421.00","2,958.00","7,221.00","7,250.00",0,"3,190.00","2,160.00","3,030.00","3,105.00","2,100.00","2,190.00","3,000.00","2,070.00",0,"1,860.00","1,950.00","2,130.00","1,530.00","3,417.75","2,614.50","3,591.00",0,913.5,"1,606.50","4,063.50","3,559.50","3,433.50","4,095.00","4,851.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","481,034.12","481,034.12","481,034.12","481,034.12","481,034.12",3.45,0,0,0,"8,172.33","15,322.05","4,155.50",384.15,"25,404.09",522.54,"9,366.20","15,460.55",18.61,0.54,"3,055.69",8.34,0,"6,236.36","2,021.99",2.7,"9,007.43",257.8,"1,635.12","3,159.60","3,770.17",659,"18,930.00","21,170.50","32,546.25","79,167.85",0,"38,335.50","80,639.02","26,942.00",0,"45,348.50","1,672.04","2,965.00","21,085.75",0,"3,607.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.701,Publishing and Advertising Costs,"1,635.12","1,635.12","1,635.12","1,635.12","1,635.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,635.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.702,Boundary and Topographic Surveys,"48,654.10","48,654.10","48,654.10","48,654.10","48,654.10",0,0,0,0,0,"3,038.55","3,448.50",0,"25,230.00",0,"3,012.95",0,0,0,"2,800.00",0,0,"3,000.00",0,0,"7,312.50",0,0,152.6,0,659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.703,"Soils, Geology, Foundation Recommendations, Hydrology","130,233.75","130,233.75","130,233.75","130,233.75","130,233.75",0,0,0,0,"8,170.60","12,283.50",292,0,0,0,0,"14,048.90",0,0,0,0,0,0,0,0,0,0,0,"3,000.00",0,0,"18,930.00","18,772.50","32,546.25","5,835.00",0,"3,382.50",157.5,0,0,"3,287.50","1,025.00","2,965.00","1,930.00",0,"3,607.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.704,Material & Workmanship Testing & Inspection,"279,168.11","279,168.11","279,168.11","279,168.11","279,168.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,398.00",0,"73,332.85",0,"34,953.00","80,325.51","26,942.00",0,"42,061.00",0,0,"19,155.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.707,Construction Document Reproduction Costs,"9,256.49","9,256.49","9,256.49","9,256.49","9,256.49",0,0,0,0,0,0,0,0,0,502.75,15,0,0,0,243.81,0,0,0,"2,021.99",0,"1,694.93",257.8,0,0,"3,717.16",0,0,0,0,0,0,0,156.01,0,0,0,647.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.708,Postal/Courier Services,153.01,153.01,153.01,153.01,153.01,0,0,0,0,0,0,0,20.13,0,19.25,74.61,6.15,7.27,0,0,6.18,0,0,0,0,0,0,0,7,12.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.709,"Meals, Travel & Entertainment Costs","2,433.54","2,433.54","2,433.54","2,433.54","2,433.54",3.45,0,0,0,1.73,0,415,364.02,174.09,0.54,0,"1,405.50",11.34,0.54,11.88,2.16,0,0,0,2.7,0,0,0,0,40.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.799,"Other Surveys, Testing, or Reproduction Costs","9,500.00","9,500.00","9,500.00","9,500.00","9,500.00",0,0,0,0,0,0,0,0,0,0,"6,263.64",0,0,0,0,0,0,"3,236.36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Special Cost Items,"2,681,106.73","2,681,106.73","2,681,106.73","640,106.73","640,106.73",0,0,0,0,0,0,285,"71,564.24",715.53,0,"4,061.09","3,303.32","2,550.00","51,810.00","173,260.00",0,190,"39,235.91","7,769.35","2,786.25","13,922.15",0,"3,200.00","5,690.99","300,000.00","1,558.00","2,339.50",948,890,"1,580.00",890,"2,297.00",952,"4,320.00","4,765.50","3,167.00","3,787.50","1,455.50","11,602.40","3,493.00","1,907.50",0,"1,233.00",0,0,0,"-86,250.00",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,213,0,"-1,426.00",0,0,0,0,0,0,0,0,0,0
 ,8.801,Loan Finance Charges/lnterest During Construction,"2,041,000.00","2,041,000.00","2,041,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
