 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,8.816,"Interior Designer, Graphic Designer, Color Consultant","6,800.00","6,800.00","6,800.00","6,000.00","6,000.00",0,0,0,"6,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.817,"Pre-Construction Services/CMAR or CMGC Delivery, Part 1","500,000.00","500,000.00","500,000.00","500,000.00","500,000.00",0,0,0,0,0,0,0,0,"500,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.82,Parking Impact Charges,786,786,786,786,786,0,0,0,0,0,0,198,372,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.821,"LEED Consulting Serv,, USGBC Fees, and Other Sustainability Consult,","29,100.00","26,100.00","29,100.00","26,100.00","26,100.00","9,900.00",0,"1,260.00","2,520.00","1,890.00",630,0,0,0,"9,900.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.822,"Special Design Consult, (ADA, Acoustic, Lab, Light,, Roof,, Traffic)","53,460.00","53,460.00","53,460.00","47,642.18","47,642.18",0,"2,064.00",0,0,"9,450.30","6,175.40",680.16,0,0,0,0,0,"1,505.00",0,0,0,"2,070.00","2,070.00","1,380.00",0,0,0,"4,140.00","3,225.00",690,"2,070.00",0,"1,380.00",0,0,0,0,"1,600.00",0,0,0,0,0,0,849.88,"5,600.00",0,0,"1,600.00",0,"1,092.44",0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.824,"Building Commissioning Costs, Fundamental and Enhanced","183,800.00","183,800.00","183,800.00","174,078.09","174,078.09",0,0,0,0,0,0,0,0,0,0,0,0,870,0,"7,026.72","3,900.00","4,028.15","1,390.00","2,000.00","2,870.00",0,"3,350.00",0,0,"2,610.00","2,260.00","2,960.00",0,"5,010.00","5,595.54","5,460.00","10,208.04","6,480.00","4,220.00","5,860.00","5,100.00","9,300.00","5,535.00","5,545.00","21,762.90","8,818.74","24,963.93","5,312.29",0,"3,467.89",0,0,0,0,0,"2,760.00",0,0,0,"5,413.89",0,0,0,0,0
 ,8.827,Local Jurisdiction Fees/Potable & Reclaimed WaterlSewerlSDGE,"3,011.00",264.2,"3,011.00",264.2,264.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.2,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.828,Other Campus Recharges,"95,090.25","6,628.53","95,090.25","6,628.53","6,628.53",0,0,0,0,154.78,"2,123.95",0,0,0,0,0,0,0,0,844.07,0,-21.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,989.00",0,0,0,0,0,0,0,0,0,0,"1,538.28",0,0
 ,8.899,Other Special Items,"185,204.80",95.09,"185,204.80",95.09,95.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.09,0,0,0,0,0,0,0,0
,9,"Construction Contingency, Potential Unknown Factors","750,000.00",0,"750,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,9.999,Project Contingency,"750,000.00",0,"750,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Total 
Schedule Percent Complete", ,"261,380,000.00","259,716,411.43","261,385,732.19","231,593,365.57","231,598,453.57","20,931.24
0","46,803.67
0","356,221.23
0","212,878.82
0","282,485.36
0","87,724.57
0","77,792.99
0","139,455.12
0","1,875,274.13
0","696,715.29
0","696,248.50
0","376,197.00
0","405,846.19
0","2,039,649.24
0","7,244,271.07
0","2,523,425.25
0","206,955.42
0","5,717,945.18
0","361,028.97
0","8,779,232.93
0","3,411,746.30
0","4,053,559.70
0","5,382,315.42
0","153,094.46
0","15,073,223.01
0","8,210,913.42
0","6,705,088.72
0","10,199,657.53
0","15,143,703.44
0","14,918,464.28
0","17,586,518.32
0","36,167,282.89
0","129,964.03
0","12,951,658.07
0","15,045,380.08
0","7,697,485.65
0","8,770,814.75
0","2,955,368.14
0","3,032,452.95
0","3,541,032.69
0","7,020,819.65
0","251,436.29
0","319,597.38
0","482,968.12
0","66,029.31
0","74,779.19
0","18,051.67
0","55,958.80
0","(60,072.94)
0","5,821.86
0","20,578.50
0","25,604.31
0","9,101.50
0","3,049.00
0","14,665.13
0","1,875.00
0","0.00
0","1,833.28
0","4,463.50
0","5,088.00
100"
