 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb,22-Mar,22-Apr,22-May,22-Jun,22-Jul,22-Aug,22-Sep,22-Oct,22-Nov,22-Dec,23-Jan,23-Feb,23-Mar,23-Apr,23-May,23-Jun
 ,8.803,"Environmental Review Costs, EIR Consultant & Related Costs","4,766.07","4,766.07","4,766.07","4,766.07","4,766.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,467.48",0,0,0,"1,298.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.807,Value Engineering Sessions/Constructability and Peer Reviews,"7,500.00","7,500.00","7,500.00","7,500.00","7,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,500.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.808,"Plan Check Fees including DSA, SFM, & EH&S Review Charges","16,406.10","16,406.10","16,406.10","16,406.10","16,406.10",0,0,0,0,0,0,0,0,0,0,0,0,92,712.8,0,0,0,142,460,942.8,0,115,497,0,0,328,115,0,0,426,0,0,345,230,"1,322.00",0,0,0,0,0,"1,136.00",781,"1,057.00",0,115,0,940,"1,772.00","1,114.50",115,284,0,0,568,284,808,142,355,0,284,0,355,0,0,0,0,0,568,0,0
 ,8.81,Environmental Mitigation Monitoring Services,"14,715.00","14,715.00","14,715.00","14,715.00","14,715.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,"6,115.00","3,270.00",0,"4,750.00",230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.817,"Pre-Construction Services/CMAR or CMGC Delivery, Part 1","29,274.00","29,274.00","29,274.00","29,274.00","29,274.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,274.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.82,Parking Impact Charges,"6,360.00","6,678.00","6,678.00","6,678.00","6,678.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,304,0,0,40,783,0,0,0,0,0,0,0,0,0,"1,188.00",0,0,0,0,0,"2,658.00",0,0,0,522,0,0,0,0,0,0,0,0,261,0,444,0,0,0,0,0,0,0,318,0,0
 ,8.822,"Special Design Consult, (ADA, Acoustic, Lab, Light,, Roof,, Traffic)","11,965.00","11,965.00","11,965.00","11,965.00","11,965.00",0,0,0,0,0,0,0,0,0,"4,800.00",0,0,0,0,0,"1,600.00","1,020.00",0,0,0,0,"3,020.00",0,550,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.826,Art Work,"2,150.00","2,150.00","2,150.00","2,150.00","2,150.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,150.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.828,Other Campus Recharges,900,900,900,900,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,8.899,Other Special Items,"29,315.00","29,315.00","29,315.00","29,315.00","29,315.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984,"2,400.00",0,0,0,0,0,"2,208.75","5,861.00",0,"1,012.50","1,222.50",780,0,"1,095.00","2,700.00",0,"2,062.50","1,462.50","2,655.00",0,0,"1,590.00",0,0,"1,548.75",0,0,0,0,0,"1,732.50",0,0,0,0,0,0,0,0,0,0,0,0
,9,"Construction Contingency, Potential Unknown Factors","21,056.65",0,"21,056.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,9.999,Project Contingency,"21,056.65",0,"21,056.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,"Total 
Schedule Percent Complete", ,"19,721,000.00","19,699,146.73","19,725,257.50","19,665,171.98","19,665,210.48","1,015.60
0","737.65
0","5,582.50
0","2,922.50
0","4,497.50
0","31,706.80
0","21,311.75
0.75","19,257.50
2.32","34,850.00
4.04","20,550.75
5.61","10,522.50
7.26","63,401.53
8.98","46,748.56
10.48","22,398.55
12.20","13,557.70
13.85","84,124.62
15.42","10,298.00
17.14","18,735.22
18.64","81,494.43
20.21","46,871.18
21.86","11,134.25
23.58","233,261.11
25.08","196,704.56
26.80","22,083.50
28.45","64,862.33
30.02","605,019.10
31.74","143,119.09
33.31","3,724,736.02
34.96","785,518.86
36.68","278,236.89
38.18","216,611.93
39.83","197,589.95
41.47","277,448.69
43.05","68,649.22
44.69","552,937.52
46.42","523,178.34
47.99","482,203.01
49.64","457,544.19
51.28","212,707.04
52.85","57,396.08
54.58","120,491.76
56.15","112,575.95
57.65","228,066.74
59.37","622,693.56
61.01","618,109.41
62.59","815,002.88
64.23","1,283,033.32
65.88","979,194.25
67.53","1,092,902.87
69.17","1,264,183.80
70.75","673,091.84
72.39","334,776.60
74.12","7,980.29
75.69","157,549.26
77.19","254,299.65
78.91","188,573.78
80.48","10,821.00
82.13","294,025.20
83.77","349,197.41
85.35","485,471.05
87.07","27,882.42
88.71","13,256.50
90.29","62,545.92
91.93","413.25
93.58","2,723.25
95.23","801.50
96.72","124.50
98.45","972.00
99.25","12,885.50
99.25","38.50
100"
