 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21
 ,5.511,Executive Architect/Engineer Reimbursable Costs,"74,384.44","74,384.44","74,384.44","74,384.44","74,384.44",0,0,0,0,0,0,0,0,"12,195.59","1,314.04","6,398.99","1,595.05",0,0,0,419.27,0,0,"7,818.03",0,"4,800.74","4,635.32","3,223.74","2,905.29",0,0,0,"2,930.51",0,0,"1,800.81",0,"1,000.00",0,0,0,0,0,635.48,"2,939.83",0,639.5,"1,985.12",0,"1,348.42","4,722.26",0,960.78,710.53,"1,097.69","2,774.04","1,528.50",0,"3,947.30",57.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.512,Executive A/E Additional Services/Design Change Authorizations,"1,142,337.00","1,142,337.00","1,142,337.00","1,142,337.00","1,142,337.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"645,735.00","28,500.00",0,"14,950.00",0,0,0,0,0,0,"27,198.00","3,022.00","120,000.00",0,"11,850.00",0,"12,304.00","26,462.00",0,0,"5,450.00",0,0,0,0,0,0,0,0,"246,866.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.513,Consulting IOR/Construction Inspection,"4,950.00","4,950.00","4,950.00","4,950.00","4,950.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990,0,"3,960.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,5.599,Other External Design Consultants,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6,Internal FD&C Recharge Services,"2,182,652.83","2,191,020.31","2,209,125.56","2,191,020.31","2,191,395.31",0,0,185.5,"1,152.75","2,862.00","27,345.05","14,879.50","20,185.00","25,432.50","27,309.25","33,212.00","18,711.25","22,672.00","18,740.00","35,562.00","25,404.00","23,712.25","18,412.00","17,569.00","16,608.50","19,072.00","20,891.50","20,628.00","28,878.00","35,625.50","66,028.00",0,"64,915.00","101,782.50","50,000.00","109,523.50","90,232.25","55,783.50","70,046.00","113,961.50",0,"55,591.00","48,517.50","67,590.00","45,797.50","54,990.00","54,850.00","79,845.00","45,060.00",0,"56,817.50","46,450.00","50,897.50","49,685.00","51,879.50","34,437.50","66,454.75",0,"40,960.50","19,108.00","10,945.00","9,055.00","13,407.00","11,661.00","12,030.00","6,279.00","5,309.00","6,212.00","7,225.00","3,000.00","3,295.00","2,820.00","4,228.00","4,675.25","8,954.25","6,914.50","2,330.00","2,274.00","2,819.76",0,0,0,0,0,0,500,0,65,97.5,0,0,671,375
 ,6.601,FD&C Project Administration,"230,000.00","234,748.50","234,748.50","234,748.50","234,748.50",0,0,0,0,0,0,"4,545.00","5,455.00","3,595.00","6,715.00","5,365.00","2,605.00","2,830.00","2,730.00","4,220.00","4,480.00","5,160.00","2,550.00","2,100.00","2,940.00","1,792.00","2,624.00","2,736.00","2,624.00","3,680.00","8,160.00",0,"5,400.00","6,660.00","15,000.00","13,395.00","3,240.00","3,840.00","2,700.00","6,180.00",0,"3,780.00","2,970.00","5,815.00","1,835.00","4,240.00","3,145.00","5,505.00","3,365.00",0,"6,035.00","5,160.00","3,060.00","4,985.00","4,775.00","5,987.50","8,800.00",0,"10,605.00","2,220.00",555,555,"2,405.00","2,035.00","2,405.00",740,665,380,"1,140.00",0,"1,045.00",570,"2,565.00",950,"1,710.00",380,95,380,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.602,FD&C Project Management,"823,072.33","842,272.05","842,272.05","842,272.05","842,509.05",0,0,0,0,0,"23,239.05","6,264.00","9,072.00","8,100.00","9,504.00","10,368.00","9,180.00","9,612.00","4,032.00","8,512.00","7,280.00","7,168.00","7,168.00","6,104.00","5,936.00","6,104.00","4,592.00","6,440.00","7,784.00","15,614.00","17,759.00",0,"21,122.00","29,264.00","10,000.00","17,936.00","46,916.00","14,986.00","18,467.00","35,164.00",0,"16,933.00","17,437.50","25,375.00","17,312.50","21,125.00","18,750.00","30,750.00","18,750.00",0,"24,937.50","21,437.50","26,437.50","21,437.50","21,010.00","13,010.00","35,985.00",0,"21,525.00","11,130.00","7,640.00","6,625.00","10,000.00","9,000.00","9,625.00","5,350.00","4,644.00","5,572.00","5,500.00","3,000.00","2,250.00","2,250.00","1,663.00","3,644.00","6,773.00","5,307.00","2,235.00","1,894.00","1,375.00",0,0,0,0,0,0,500,0,0,0,0,0,395,237
 ,6.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"292,981.50","293,257.50","293,257.50","293,257.50","293,395.50",0,0,0,0,0,"1,350.00",864,864,"5,886.00","3,132.00","5,778.00","3,888.00","5,022.00","2,352.00","6,776.00","5,040.00","2,352.00","2,306.00","1,694.00","2,028.00","4,772.00","5,087.00","5,268.00","10,318.00","6,682.00","11,850.00",0,"12,237.00","20,391.00",0,"22,170.00","11,293.00","14,420.00","18,125.00","22,208.00",0,"11,116.00","7,150.00","7,975.00","5,075.00","5,325.00","7,775.00","6,525.00","3,450.00",0,"1,750.00","3,437.50","4,000.00","2,812.50","4,875.00","2,375.00","3,375.00",0,"1,062.50",625,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,138
 ,6.604,FD&C Contracts Office,"113,867.25","116,115.76","116,115.76","116,115.76","116,115.76",0,0,0,13.25,0,79.5,874.5,"2,091.00","4,194.50","5,228.75","8,388.50",666.5,"1,074.00","6,381.00","9,320.00","3,104.00","1,813.50",334,"2,638.50","1,442.00","2,196.50","3,473.50","1,725.00","2,620.50","5,579.50","7,373.00",0,"3,346.00","2,399.50","15,000.00","7,618.00",236,308.5,590,"1,428.50",0,648,965,750,750,"1,165.00","1,435.00","1,205.00",155,0,"1,040.00",820,"1,185.00",325,290,170,924.25,0,189,313,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,146.25,"1,178.75",0,0,874.76,0,0,0,0,0,0,0,0,0,32.5,0,0,0,0
 ,6.605,FD&C IOR/Construction Inspection,"453,983.00","453,983.00","453,983.00","453,983.00","453,983.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,344.00",0,0,224,0,0,0,0,224,224,0,"3,776.00",0,"11,210.00","32,686.00",0,"31,316.00","13,452.00","16,284.00","20,768.00","34,220.00",0,"18,880.00","16,875.00","22,875.00","18,125.00","20,375.00","20,625.00","31,750.00","17,000.00",0,"19,125.00","13,375.00","13,875.00","17,875.00","18,000.00","10,375.00","14,000.00",0,"5,500.00","3,875.00","2,625.00","1,875.00",750,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
