 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,6.605,FD&C IOR/Construction Inspection,"550,000.00","543,721.50","550,000.00","543,721.50","543,721.50",0,0,0,"2,016.00","2,128.00","5,664.00",0,"1,888.00","3,304.00",0,236,0,0,0,236,0,472,250,"1,500.00",750,"4,750.00","7,250.00","24,375.00","20,625.00",0,"31,125.00","24,250.00","21,500.00","15,000.00","26,625.00","21,250.00","49,875.00",0,"29,625.00","22,000.00","26,590.00","25,475.00","25,235.00","15,730.00","21,350.00","16,110.00","14,730.00","11,230.00","14,230.00","13,980.00","12,980.00","11,355.00","9,605.00","4,807.50","2,745.00",375,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.607,FD&C Project Specialist,"320,000.00","283,530.00","320,000.00","283,530.00","283,746.00",0,990,"4,620.00","2,530.00","2,447.50","3,103.00",0,"2,987.00","9,657.00",0,"5,916.00","4,031.00","3,567.00","6,061.00","6,800.50",0,"4,379.00","4,620.00","11,040.00","9,390.00","9,870.00","8,655.00","13,710.00","6,855.00",0,"8,850.00","8,865.00","9,375.00","6,360.00","8,788.50","7,008.75","11,970.00",0,"7,418.25","3,181.50","5,040.00","3,622.50","5,764.50","4,347.00","10,678.50","3,055.50","2,990.00","3,672.50","2,925.00","2,892.50","3,932.50","3,477.50","4,842.50","5,785.00","4,030.00","2,340.00","12,715.00","2,275.00","5,460.00",0,0,130,0,0,0,32.5,65,65,130,0,0,216,216
,7,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","1,754,696.53","1,754,696.53","1,754,696.53","1,754,696.53","1,754,696.53",0,"14,109.01","14,020.86","49,691.33","2,246.33","16,501.62","2,005.16","1,027.70","5,852.19","4,911.34","1,161.14",27.81,"14,174.25",0,"12,696.00","2,467.55",69.21,0,6.24,151.12,267.98,"1,476.44","11,070.17","28,199.34","56,191.60","162,624.96","60,463.36","196,151.24","32,373.90","175,817.27","115,771.21","113,431.03","32,645.08","109,641.75","55,303.75","38,981.19","55,448.92","40,398.07","10,330.00","66,258.25","35,517.58",0,"61,612.80","38,080.51","3,766.00","45,905.18","20,858.39","30,045.00","13,463.00",0,185,0,0,0,"1,298.70",0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.701,Publishing and Advertising Costs,"1,278.90","1,278.90","1,278.90","1,278.90","1,278.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.98,"1,010.92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.702,Boundary and Topographic Surveys,"28,400.00","28,400.00","28,400.00","28,400.00","28,400.00",0,"14,000.00","14,016.00",0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.703,"Soils, Geology, Foundation Recommendations, Hydrology","581,125.00","581,125.00","581,125.00","581,125.00","581,125.00",0,0,0,"48,500.00",0,"16,500.00",0,0,"5,000.00","4,425.00",0,0,"12,900.00",0,"12,696.00","1,104.00",0,0,0,0,0,0,"10,762.50","27,686.43","54,041.05","40,786.63","42,008.75","52,864.84","29,451.90","12,635.00","15,422.50","13,072.88","10,467.50","8,362.50","4,142.50","3,372.50","1,367.50","8,560.00","10,330.00","4,745.00","11,492.50",0,"21,113.75","19,047.50",0,"36,176.32","15,506.25","17,645.00","7,455.00",0,185,0,0,0,"1,298.70",0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.704,Material & Workmanship Testing & Inspection,"1,120,602.55","1,120,602.55","1,120,602.55","1,120,602.55","1,120,602.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"121,838.33","13,619.20","142,958.25","2,922.00","163,182.27","99,698.50","100,322.15","21,447.36","101,245.90","51,161.25","35,608.69","54,016.16","31,491.25",0,"60,763.00","23,541.18",0,"40,499.05","19,033.01","3,766.00","9,728.86","5,352.14","12,400.00","6,008.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.707,Construction Document Reproduction Costs,"10,973.70","10,973.70","10,973.70","10,973.70","10,973.70",0,0,0,0,0,0,534.6,0,0,0,0,0,0,0,0,0,0,0,0,151.12,0,232.87,157.67,427.45,"2,144.28",0,"4,800.41",314.15,0,0,650.21,0,730.22,0,0,0,0,346.82,0,0,483.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.708,Postal/Courier Services,644.06,644.06,644.06,644.06,644.06,0,0,0,0,63,0,18.51,37.05,367,0,16.28,0,0,0,0,31.5,6.21,0,6.24,0,0,7,0,0,6.27,0,35,14,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.709,"Meals, Travel & Entertainment Costs","11,672.32","11,672.32","11,672.32","11,672.32","11,672.32",0,109.01,4.86,"1,191.33","1,799.33",1.62,"1,452.05",990.65,485.19,486.34,"1,144.86",27.81,"1,274.25",0,0,"1,332.05",63,0,0,0,0,225.65,150,85.46,0,0,0,0,0,0,0,0,0,33.35,0,0,65.26,0,0,750.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,8,Special Cost Items,"16,408,125.61","16,408,125.61","16,408,125.61","1,855,496.32","1,855,496.32",0,"1,944.00","170,000.00",0,"93,220.00","38,365.00","211,182.25",171.99,"15,184.24","503,516.67","2,307.22",475,"22,711.78",0,0,"36,363.37","8,967.00","49,688.39","14,090.86","8,294.92","14,016.72","47,553.38","79,015.57","8,797.05","18,186.04","14,192.74","12,603.20","6,454.50","14,976.17","11,830.06","20,918.40","12,461.96","16,659.00","29,409.22","19,611.80","18,141.64","16,750.00","38,250.44","19,294.01","16,930.04","20,014.00","7,919.31","31,427.66","18,440.54","38,285.48","10,490.17","62,422.59","19,929.58","5,797.86","10,575.20","1,356.00","4,182.50",665,0,"1,669.10",822.5,542.5,0,"1,408.75","1,032.50",980,"2,401.70","1,163.75","1,435.00",0,0,0,0
