 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,12-Apr,12-May,12-Jun,12-Jul,12-Aug,12-Sep,12-Oct,12-Nov,12-Dec,13-Jan,13-Feb,13-Mar,13-Apr,13-May,13-Jun,13-Jul,13-Aug,13-Sep,13-Oct,13-Nov,13-Dec,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct
 ,6.602,FD&C Project Management,"189,689.54","189,689.54","189,689.54","189,689.54","189,689.54",0,0,0,0,0,0,0,0,0,0,"1,680.00",0,"4,200.00",0,"1,680.00","1,260.00","2,100.00","2,100.00","2,940.00","2,520.00","2,520.00","3,465.00","13,800.00","7,200.00","9,100.00","8,600.00","8,200.00","5,600.00","7,800.00","6,000.00","10,000.00","13,600.00","9,200.00","10,100.00","11,232.00","7,668.00","9,180.00","11,988.00","5,832.00","-32,539.46","5,508.00","3,132.00","3,456.00","3,780.00","4,644.00","5,184.00","2,016.00","1,120.00","1,344.00","1,344.00",784,"1,456.00","2,912.00","3,808.00",448,448,336,0,0,0,0,944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"22,967.00","22,967.00","22,967.00","22,967.00","22,967.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,525,0,315,"2,600.00","1,300.00","1,200.00","2,400.00","2,900.00","1,500.00",100,800,800,"3,700.00","1,700.00",700,216,324,216,270,0,"1,080.00",108,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.604,FD&C Contracts Office,"12,752.00","12,752.00","12,752.00","12,752.00","12,752.00",0,0,0,0,0,0,0,0,0,0,0,0,79.5,0,463.75,278.25,106,145.75,0,675.75,291.5,119.25,150,112.5,300,"1,697.50","1,750.00",687.5,"1,225.00",525,837.5,625,537.5,212.5,403.5,147.75,92.75,216,0,159,0,0,0,132.5,0,108,79.5,13.75,112,0,82.5,220,55,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,6.607,FD&C Project Specialist,"46,441.50","46,441.50","46,441.50","46,441.50","46,441.50",0,0,0,0,0,0,0,0,0,0,265,0,636,0,954,636,901,583,"1,378.00","1,457.50",768.5,"1,219.00","1,975.00","1,175.00",425,"1,375.00",875,575,912.5,875,"1,475.00","2,325.00","1,750.00","1,875.00","3,629.00","2,862.00","2,650.00","2,968.00","2,014.00","2,040.50","2,067.00","1,113.00",689,"1,033.50",291.5,0,0,0,0,0,0,0,247.5,0,0,165,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,7,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","78,777.23","78,776.67","78,777.23","78,776.67","78,776.67",1.11,0,0,0,0,0,0,0,0,0,0,"1,101.60",364.8,0,0,5,"10,700.00",8.48,132.74,11.83,569.43,200.07,76.59,"2,925.23",20.35,"1,055.80","6,273.34","7,506.70",825.6,"4,471.56","3,722.80",350,"1,014.52",66.36,395.03,"3,457.50","24,988.48",126.71,34.16,0,0,0,0,0,14,8.5,0,41.5,3.45,0,0,0,1.72,0,0,12.71,0,0,0,0,0,0,"8,289.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.701,Publishing and Advertising Costs,"7,505.40","7,505.40","7,505.40","7,505.40","7,505.40",0,0,0,0,0,0,0,0,0,0,0,"1,101.60",364.8,0,0,0,0,0,0,0,0,0,0,0,0,790.8,175,"1,661.20",825.6,"2,586.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.702,Boundary and Topographic Surveys,"10,700.00","10,700.00","10,700.00","10,700.00","10,700.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10,700.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.704,Material & Workmanship Testing & Inspection,"4,420.50","4,420.50","4,420.50","4,420.50","4,420.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,963,0,0,"3,457.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.705,Air Balance Testing,"33,259.00","33,259.00","33,259.00","33,259.00","33,259.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,970.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,289.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,7.707,Construction Document Reproduction Costs,"21,050.28","21,050.28","21,050.28","21,050.28","21,050.28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569.43,200.07,72.63,"2,925.23",0,0,"6,091.60","5,213.57",0,"1,885.16","3,711.56",0,0,0,381.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
