

 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,May 2026,Jun 2026,Jul 2026,Aug 2026,Sep 2026,Oct 2026,Nov 2026,Dec 2026,Jan 2027,Feb 2027,Mar 2027,Apr 2027,May 2027,Jun 2027,Jul 2027,Aug 2027,Sep 2027,Oct 2027,Nov 2027,Dec 2027,Jan 2028,Feb 2028,Mar 2028,Apr 2028,May 2028,Jun 2028,Jul 2028,Aug 2028
 ,01.111,"Lock Keying, FM Lock Shop Work Orders","10,000.00",0.00,"10,000.00",0.00,"10,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,76.22,787.60,787.60,787.60,787.60,787.60,787.60,787.60,787.60,787.60,787.60,787.60,787.60,472.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
 ,01.112,Builders Risk Insurance,"30,000.00",0.00,"30,000.00",0.00,"30,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,228.66,"2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","2,362.80","1,417.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
 ,01.113,"Group 1 Equipment, Owner Purchased Contractor Installed",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.114,"Security Alarms, Video Security, Security Manpower","300,000.00",0.00,"300,000.00",0.00,"300,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,286.58","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","23,628.05","14,176.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,(0.01)
 ,01.115,Building Signage,"150,000.00",0.00,"150,000.00",0.00,"150,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,143.29","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","11,814.02","7,088.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
 ,01.116,University Controlled Insurance Program (UCIP),"800,000.00",0.00,"800,000.00",0.00,"800,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,097.54","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","63,008.13","37,804.87",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
 ,01.117,Adjacent Departmental Impacts,"25,000.00",0.00,"25,000.00",0.00,"25,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,190.55,"1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,969.00","1,181.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
 ,01.118,Infection Control,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,01.119,"Utility Shutdowns, Temporary Utility Services and Facilities","20,000.00",0.00,"20,000.00",0.00,"20,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.44,"1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20","1,575.20",945.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
 ,01.199,Other Building Construction,"100,000.00",0.00,"100,000.00",0.00,"100,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,762.19,"7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","7,876.02","4,725.61",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,(0.04)
