,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Line Item,Description,Projected Budget,Projected Commitments,Estimate at Completion,Actuals To Date,Actuals + Projections,Sep 2017,Oct 2017,Nov 2017,Dec 2017,Jan 2018,Feb 2018,Mar 2018,Apr 2018,May 2018,Jun 2018,Jul 2018,Aug 2018,Sep 2018,Oct 2018,Nov 2018,Dec 2018,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023
 ,06.603,FD&C Project Engineering/Mechanical/Electrical/Civil,"45,000.00","44,372.50","45,000.00","44,372.50","44,372.50",0.00,0.00,"2,187.50","1,562.50","3,062.50","1,562.50",0.00,"3,125.00","2,750.00","3,187.50","2,187.50","2,625.00","2,250.00","5,687.50",0.00,"2,937.50","2,250.00","1,387.50",140.00,"4,275.00",562.50,"2,632.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,06.604,FD&C Contracts Office,"32,500.00","34,738.50","34,738.50","34,738.50","34,777.00",0.00,635.00,395.00,45.00,150.00,150.00,0.00,30.00,75.00,60.00,245.00,120.00,120.00,723.50,0.00,252.00,0.00,140.75,141.75,"1,257.00","1,590.75","2,535.75","3,866.50","2,066.25",926.25,65.00,32.50,406.25,81.25,65.00,0.00,81.25,0.00,130.00,"2,750.00","2,122.50",260.00,276.25,"1,288.75","1,215.00",0.00,780.00,"1,410.00",130.00,162.50,815.00,0.00,"1,646.50",888.00,402.00,234.00,0.00,0.00,144.00,0.00,702.00,390.00,180.00,0.00,72.00,38.50,115.50,77.00,327.25,885.50,115.50,38.50,0.00,885.50,38.50
 ,06.605,FD&C IOR/Construction Inspection,"220,600.00","221,404.50","221,404.50","221,404.50","221,404.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,850.00",0.00,"4,682.50","7,235.00","7,985.00","6,500.00","5,875.00","5,250.00","8,355.00","12,350.00","8,120.00","4,625.00","6,370.00","13,360.00","5,375.00","6,625.00","5,750.00","4,250.00",0.00,"1,875.00","16,750.00","10,250.00","8,875.00","7,875.00",0.00,"8,917.00","6,900.00","10,419.00","11,178.00",0.00,0.00,"8,418.00",0.00,"12,144.00","2,346.00",0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,600.00,0.00,0.00,0.00,0.00
 ,06.607,FD&C Project Specialist,"79,400.00","78,186.50","79,400.00","78,186.50","78,186.50",0.00,0.00,120.00,180.00,150.00,345.00,0.00,270.00,570.00,300.00,360.00,315.00,299.25,"1,149.75",0.00,315.00,378.00,819.00,504.00,645.75,913.50,819.00,"1,417.50","1,007.50","1,137.50",942.50,"1,072.50","1,722.50","1,495.00",942.50,975.00,"2,632.50","1,608.75",877.50,"1,527.50","7,930.00","3,445.00","3,575.00","3,542.50","3,315.00",0.00,"2,405.00","5,330.00","1,755.00","3,022.50","3,412.50",0.00,"4,958.00","2,772.00","2,520.00","4,644.00",0.00,0.00,"5,148.00",0.00,"5,724.00","3,132.00",0.00,0.00,"(14,256.00)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,07,"Advertisement, Surveys, Soils Reports, Material Testing & Special Inspection, Reproduction Costs","181,647.19","181,647.19","181,647.19","180,653.59","180,653.59","1,015.60",102.65,0.00,0.00,0.00,131.80,0.00,"15,002.50",0.00,"1,997.50","7,490.00",0.00,308.84,"7,000.00",7.70,7.12,0.00,565.97,"5,531.00","11,810.63",0.00,"1,589.41",970.56,0.00,"13,145.55","12,043.40","30,310.76","1,440.00","10,563.00","4,090.50","1,688.02",983.88,"1,372.00","4,712.00","5,194.05","2,302.50",507.18,"8,002.00",562.50,0.00,"9,393.50","1,926.56",310.00,655.00,664.91,0.00,655.00,0.00,600.00,0.00,"8,830.00","2,233.00","4,937.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.701,Publishing and Advertising Costs,"1,015.60","1,015.60","1,015.60","1,015.60","1,015.60","1,015.60",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.702,Boundary and Topographic Surveys,"49,810.00","49,810.00","49,810.00","48,816.40","48,816.40",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,002.50",0.00,"1,997.50","7,490.00",0.00,0.00,"7,000.00",0.00,0.00,0.00,0.00,"5,520.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,818.90","1,440.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,302.50",0.00,0.00,562.50,0.00,0.00,"1,845.00",310.00,655.00,617.50,0.00,655.00,0.00,600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.703,"Soils, Geology, Foundation Recommendations, Hydrology","10,880.00","10,880.00","10,880.00","10,880.00","10,880.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,880.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.704,Material & Workmanship Testing & Inspection,"112,644.00","112,644.00","112,644.00","112,644.00","112,644.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,455.85","12,043.40","27,491.86",0.00,"10,563.00","4,090.50","1,355.39",0.00,"1,372.00","4,712.00","5,164.50",0.00,0.00,"8,002.00",0.00,0.00,"9,393.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,830.00","2,233.00","4,937.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,07.707,Construction Document Reproduction Costs,"6,007.41","6,007.41","6,007.41","6,007.41","6,007.41",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,294.84,0.00,0.00,0.00,0.00,565.97,0.00,919.63,0.00,"1,178.41",756.69,0.00,689.70,0.00,0.00,0.00,0.00,0.00,0.00,983.88,0.00,0.00,29.55,0.00,507.18,0.00,0.00,0.00,0.00,81.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
